,#,When,Who,Problem,Lang,Verdict,Time,Memory
0,63481339,Oct/26/2019 15:51,tourist,F - Cursor Distance,GNU C++17,Accepted,1169 ms,106600 KB
1,63460125,Oct/26/2019 14:40,tourist,D - Tree Factory,GNU C++17,Accepted,109 ms,11400 KB
2,63454015,Oct/26/2019 14:28,tourist,C - Rock Is Push,GNU C++17,Accepted,186 ms,73400 KB
3,63443580,Oct/26/2019 14:13,tourist,A - p-binary,GNU C++17,Accepted,31 ms,0 KB
4,63440705,Oct/26/2019 14:11,tourist,B - Power Products,GNU C++17,Accepted,93 ms,800 KB
5,63439361,Oct/26/2019 14:09,tourist,B - Power Products,GNU C++17,Runtime error on pretest 7,46 ms,800 KB
6,63438614,Oct/26/2019 14:09,tourist,B - Power Products,GNU C++17,Runtime error on pretest 7,61 ms,800 KB
7,60820157,Sep/19/2019 02:18,tourist,C - Party,GNU C++17,Accepted,1092 ms,0 KB
8,60820126,Sep/19/2019 02:16,tourist,C - Party,GNU C++17,Time limit exceeded on test 13,2000 ms,1100 KB
9,60820111,Sep/19/2019 02:15,tourist,C - Party,GNU C++17,Compilation error,0 ms,0 KB
10,60820085,Sep/19/2019 02:14,tourist,C - Party,GNU C++17,Runtime error on test 1,15 ms,1000 KB
11,60820054,Sep/19/2019 02:12,tourist,C - Party,GNU C++17,Time limit exceeded on test 13,2000 ms,500 KB
12,60573400,Sep/14/2019 18:34,tourist,H - Moving Walkways,GNU C++17,Wrong answer on pretest 10,31 ms,100 KB
13,60565967,Sep/14/2019 18:05,tourist,H - Moving Walkways,GNU C++17,Wrong answer on pretest 10,31 ms,100 KB
14,60565296,Sep/14/2019 18:02,tourist,H - Moving Walkways,GNU C++17,Wrong answer on pretest 10,30 ms,100 KB
15,60548870,Sep/14/2019 16:53,tourist,F - Koala and Notebook,GNU C++17,Accepted,530 ms,177800 KB
16,60543295,Sep/14/2019 16:33,tourist,G1 - Into Blocks (easy version),GNU C++17,Accepted,93 ms,6300 KB
17,60541156,Sep/14/2019 16:26,tourist,E2 - Rotate Columns (hard version),GNU C++17,Accepted,1855 ms,400 KB
18,60540929,Sep/14/2019 16:26,tourist,E1 - Rotate Columns (easy version),GNU C++17,Accepted,31 ms,100 KB
19,60538028,Sep/14/2019 16:18,tourist,D - Cow and Snacks,GNU C++17,Accepted,77 ms,1600 KB
20,60537103,Sep/14/2019 16:16,tourist,C - Paint the Digits,GNU C++17,Accepted,78 ms,2100 KB
21,60535198,Sep/14/2019 16:11,tourist,C - Paint the Digits,GNU C++17,Wrong answer on pretest 2,30 ms,100 KB
22,60533467,Sep/14/2019 16:08,tourist,B - Koala and Lights,GNU C++17,Accepted,46 ms,400 KB
23,60532527,Sep/14/2019 16:06,tourist,A - Paint the Numbers,GNU C++17,Accepted,31 ms,0 KB
24,60229477,Sep/07/2019 19:01,tourist,I - Unusual Graph,Kotlin,Accepted,234 ms,1300 KB
25,60228910,Sep/07/2019 18:52,tourist,H - Road Repair in Treeland,Kotlin,Accepted,420 ms,9500 KB
26,60228695,Sep/07/2019 18:49,tourist,H - Road Repair in Treeland,Kotlin,Time limit exceeded on test 12,3000 ms,1300 KB
27,60228243,Sep/07/2019 18:43,tourist,H - Road Repair in Treeland,Kotlin,Time limit exceeded on test 12,3000 ms,1300 KB
28,60227082,Sep/07/2019 18:23,tourist,G - King's Path,Kotlin,Accepted,1730 ms,186900 KB
